COD_RH_MUNICIPIO;COD_MUNICIPIO;SGL_PAIS;SGL_DEPARTAMENTO;TXT_NME_MUNICIPIO;TXT_NME_MUNICIPIO_FILTRO
0000028690;7;EUA;N/A;Los Angeles;LOS ANGELES
0000028703;6;EUA;N/A;Estados Unidos;ESTADOS UNIDOS
0000028746;6;N/A;N/A;nacional;NACIONAL
0000028746;7;N/A;N/A;internacional;INTERNACIONAL
0000028754;5;N/A;N/A;Brasil;BRASIL
0000028754;6;N/A;N/A;Mexico;MEXICO
0000028843;2;N/A;N/A;Universidad Nacional Colombia;UNIVERSIDAD NACIONAL COLOMBIA
0000028843;3;CRC;N/A;San José;SAN JOSE
0000028843;4;MEX;VE;Xalapa;XALAPA
0000028851;11;N/A;N/A;Ginebra, Suiza;GINEBRA SUIZA
0000028851;14;N/A;N/A;http://ajp.amjpathol.org/;HTTP//AJPAMJPATHOLORG/
0000028851;15;MEX;DF;Mexico;MEXICO
0000028851;16;EUA;N/A;Cold Spring Harbor;COLD SPRING HARBOR
0000028851;17;EUA;N/A;Stanford;STANFORD
0000028851;18;ING;N/A;Bognor Regis;BOGNOR REGIS
0000028851;19;ING;N/A;Leeds;LEEDS
0000028851;20;BRA;RJ;Rio de Janeiro;RIO DE JANEIRO
0000028851;21;AUS;N/A;Canberra;CANBERRA
0000028851;22;ING;N/A;Londres;LONDRES
0000028851;24;ING;N/A;Essex;ESSEX
0000028878;4;N/A;N/A;Mar del Plata;MAR DEL PLATA
0000028924;1;N/A;N/A;CUIC;CUIC
0000029009;7;CRC;N/A;San José;SAN JOSE
0000029009;8;EUA;N/A;New York;NEW YORK
0000029025;1;ESP;N/A;Barcelona;BARCELONA
0000029025;20;N/A;N/A;USA;USA
0000029025;21;N/A;N/A;Suiza;SUIZA
0000029025;22;N/A;N/A;España;ESPANA
0000029025;23;N/A;N/A;Mexico;MEXICO
0000029025;24;N/A;N/A;Suecia;SUECIA
0000029025;25;N/A;N/A;Leewardeen;LEEWARDEEN
0000029025;26;CRC;N/A;San Jose de Costa Rica;SAN JOSE DE COSTA RICA
0000029025;27;CHL;5;Valparaìso;VALPARAÌSO
0000029033;1;N/A;N/A;Editorial Maldonado;EDITORIAL MALDONADO
0000029041;12;N/A;N/A;Mexico;MEXICO
0000029041;13;N/A;N/A;Costa Rica;COSTA RICA
0000029050;1;N/A;N/A;Miami;MIAMI
0000029050;10;N/A;N/A;lAWRENCE, USA;LAWRENCE USA
0000029050;11;N/A;N/A;Editorial ACCB;EDITORIAL ACCB
0000029050;12;N/A;N/A;Estados Unidos;ESTADOS UNIDOS
0000029050;13;N/A;N/A;Rio de Janeiro;RIO DE JANEIRO
0000029050;16;N/A;N/A;Universidad de La Salle;UNIVERSIDAD DE LA SALLE
0000029050;17;N/A;N/A;Centro Nal Investig Cientifica;CENTRO NAL INVESTIG CIENTIFICA
0000029050;20;BRA;PB;Joao Pessoa;JOAO PESSOA
0000029050;26;EUA;N/A;N/A;N/A
0000029050;31;CHL;N/A;Santiago;SANTIAGO
0000029050;33;ING;N/A;Londres;LONDRES
0000029050;35;BRA;RJ;Rio de Janeiro;RIO DE JANEIRO
0000029050;5;N/A;N/A;Rusia;RUSIA
0000029050;6;N/A;N/A;Brazil;BRAZIL
0000029050;7;N/A;N/A;Santiago;SANTIAGO
0000029050;8;N/A;N/A;New Jersey;NEW JERSEY
0000029050;9;N/A;N/A;Rio deJaneiro;RIO DEJANEIRO
0000029076;18;N/A;N/A;Chile;CHILE
0000029076;19;N/A;N/A;Internet;INTERNET
0000029076;20;N/A;N/A;Editora UFJF;EDITORA UFJF
0000029076;21;N/A;N/A;Adelaide, South Australia;ADELAIDE SOUTH AUSTRALIA
0000029076;8;N/A;N/A;Santiago de Chile;SANTIAGO DE CHILE
0000029092;2;N/A;N/A;París;PARIS
0000029092;3;N/A;N/A;Estados unidos;ESTADOS UNIDOS
0000029106;29;N/A;N/A;Basilea;BASILEA
0000029106;31;N/A;N/A;Santiago;SANTIAGO
0000029106;33;N/A;N/A;Universidad de Caldas;UNIVERSIDAD DE CALDAS
0000029106;36;NZL;N/A;Auckland;AUCKLAND
0000029106;39;CAN;N/A;Quebec;QUEBEC
0000029106;51;EUA;N/A;New York ;NEW YORK
0000029106;52;FRA;N/A;Paris;PARIS
0000029106;68;CAN;N/A;vancouver;VANCOUVER
0000029114;10;N/A;N/A;Mexico;MEXICO
0000029114;22;N/A;N/A;Basilea;BASILEA
0000029114;25;N/A;N/A;Universidad de Caldas;UNIVERSIDAD DE CALDAS
0000029114;31;AUS;N/A;Auckland;AUCKLAND
0000029114;33;CAN;N/A;Quebec;QUEBEC
0000029149;1;N/A;N/A;basilea;BASILEA
0000029157;1;N/A;N/A;Miami;MIAMI
0000029157;3;N/A;N/A;Barcelona;BARCELONA
0000029165;3;N/A;N/A;UNIVERSIDAD DE CALDAS;UNIVERSIDAD DE CALDAS
0000029181;2;N/A;N/A;Basilea;BASILEA
0000029220;6;HOL;N/A;Dordrecht;DORDRECHT
0000029270;2;N/A;N/A;A24;A24
0000029270;3;N/A;N/A;C66;C66
0000029270;4;N/A;N/A;Edimburgo;EDIMBURGO
0000029327;2;EUA;N/A;Los Angeles;LOS ANGELES
0000029335;15;N/A;N/A;IWA Publishing;IWA PUBLISHING
0000029335;18;VEN;LA;Barquisimeto;BARQUISIMETO
0000029335;19;RFA;N/A;Beate Bergner;BEATE BERGNER
0000029467;2;N/A;N/A;San Andres Isla;SAN ANDRES ISLA
0000029467;5;RFA;N/A; Lüneburg;LÜNEBURG
0000029467;6;EUA;N/A;Key Biscayne;KEY BISCAYNE
0000029467;8;EUA;N/A;San Francisco;SAN FRANCISCO
0000029483;3;JAP;N/A;Japón;JAPON
0000029661;1;N/A;N/A;SCARE;SCARE
0000029661;2;N/A;N/A;Abbott Laboratories de Colombi;ABBOTT LABORATORIES DE COLOMBI
0000029769;1;N/A;N/A;Londres;LONDRES
0000029777;9;ESP;N/A;Madrid;MADRID
0000029793;3;N/A;N/A;Ireland;IRELAND
0000029815;14;ING;N/A;Oxford;OXFORD
0000029815;19;IRL;N/A;n/A;N/A
0000029840;18;N/A;N/A;San Jose, Costa Rica;SAN JOSE COSTA RICA
0000029840;22;ING;N/A;Londres;LONDRES
0000029840;23;CRC;N/A;San José;SAN JOSE
0000029858;3;N/A;N/A;Oxford;OXFORD
0000029858;5;N/A;N/A;Inglaterra;INGLATERRA
0000029874;7;GBR;N/A;Oxford;OXFORD
0000029882;1;N/A;N/A;Washington;WASHINGTON
0000029882;2;N/A;N/A;Chicago;CHICAGO
0000029890;1;ING;N/A;Londres;LONDRES
0000029890;10;N/A;N/A;Oxford;OXFORD
0000029890;11;N/A;N/A;Chicago;CHICAGO
0000029890;12;N/A;N/A;New York;NEW YORK
0000029890;13;N/A;N/A;Amsterdam;AMSTERDAM
0000029890;14;N/A;N/A;Cambridge;CAMBRIDGE
0000029890;15;N/A;N/A;Estados Unidos;ESTADOS UNIDOS
0000029890;16;EUA;N/A;Wisconsin;WISCONSIN
0000029890;17;EUA;N/A;San Francisco;SAN FRANCISCO
0000029890;18;EUA;N/A;Bethesda;BETHESDA
0000029890;7;N/A;N/A;Philadelphia;PHILADELPHIA
0000029890;9;N/A;N/A;London;LONDON
0000029904;1;EUA;N/A;Baton Rouge;BATON ROUGE
0000029904;3;N/A;N/A;Chicago;CHICAGO
0000029904;4;N/A;N/A;New York;NEW YORK
0000029904;5;N/A;N/A;Amsterdam;AMSTERDAM
0000029904;6;N/A;N/A;Cambridge;CAMBRIDGE
0000029904;7;N/A;N/A;Washington;WASHINGTON
0000029912;4;N/A;N/A;Chicago;CHICAGO
0000029912;5;N/A;N/A;Amsterdam;AMSTERDAM
0000029912;6;N/A;N/A;Wiley-Liss;WILEY LISS
0000029912;7;N/A;N/A;Oxford University Press;OXFORD UNIVERSITY PRESS
0000029920;2;EUA;N/A;Piscataway;PISCATAWAY
0000029920;3;ING;N/A;Bristol;BRISTOL
0000029939;2;N/A;N/A;nueva zelanda;NUEVA ZELANDA
0000029947;14;N/A;N/A;Estados Unidos;ESTADOS UNIDOS
0000029963;2;N/A;N/A;Chicago;CHICAGO
0000029963;3;N/A;N/A;New York;NEW YORK
0000029963;4;N/A;N/A;Amsterdam;AMSTERDAM
0000029963;5;N/A;N/A;Cambridge;CAMBRIDGE
0000029971;10;ING;N/A;Chichister;CHICHISTER
0000029971;5;N/A;N/A;Chicago;CHICAGO
0000029971;7;N/A;N/A;Amsterdam;AMSTERDAM
0000029971;8;N/A;N/A;Chicago, EU;CHICAGO EU
0000029980;3;N/A;N/A;ELSEVIER;ELSEVIER
0000029980;4;N/A;N/A;New York;NEW YORK
0000029980;5;N/A;N/A;American academy of Neurology;AMERICAN ACADEMY OF NEUROLOGY
0000029998;7;N/A;N/A;Rio de Janeiro;RIO DE JANEIRO
0000030015;3;EUA;N/A;Los Angeles;LOS ANGELES
0000030074;5;N/A;N/A;CHICAGO;CHICAGO
0000030074;7;N/A;N/A;Londres;LONDRES
0000030104;1;EUA;N/A;N/A;N/A
0000030147;11;ESP;N/A;Barcelona;BARCELONA
0000030147;5;N/A;N/A;LICCE;LICCE
0000030147;6;N/A;N/A;España;ESPANA
0000030147;8;N/A;N/A;europa;EUROPA
0000030155;20;N/A;N/A;Amsterdam;AMSTERDAM
